group_id,num_replicates,stress_min,stress_max,stress_range,strain_min,strain_max,strain_range
1,2,4.06,4.06,0.0,0.0001,0.00016,6.000000000000001e-05
2,12,0.862,1.953,1.0910000000000002,0.0034,0.0332,0.0298
3,2,4.03,4.649571825,0.6195718249999995,0.00029,0.000504552,0.00021455200000000002
4,2,3.65,3.824322971,0.17432297100000005,0.000220796,0.00025,2.9204000000000014e-05
5,2,3.8,4.06,0.2599999999999998,7e-05,0.0001,3.000000000000001e-05
6,2,6.39,6.84,0.4500000000000002,0.0093,0.0107,0.0014000000000000002
7,5,3.698,4.208,0.5100000000000002,0.0205,0.0304,0.009899999999999999
8,22,3.885,5.396,1.5110000000000001,0.0052,0.037,0.031799999999999995
9,15,4.029,5.363,1.3340000000000005,0.0077,0.0357,0.028000000000000004
10,11,3.995,4.81,0.8149999999999995,0.0041,0.0369,0.0328
11,2,3.102,3.668,0.5660000000000003,0.0039,0.0204,0.0165
12,2,3.46,3.813,0.3530000000000002,0.0126,0.0224,0.0098
13,2,2.614,2.98,0.3660000000000001,0.0003,0.0121,0.0118
14,6,4.156,4.628,0.4720000000000004,0.002,0.0189,0.0169
15,2,3.3,3.32,0.020000000000000018,0.0061,0.0203,0.014199999999999997
16,4,4.5,5.614,1.1139999999999999,0.0157,0.0432,0.027500000000000004
17,2,4.954,5.61,0.6560000000000006,0.0157,0.0182,0.0025000000000000022
18,2,4.73,5.03,0.2999999999999998,0.0314,0.036,0.0046
19,2,3.56,3.619,0.05900000000000016,0.006,0.0069,0.0008999999999999998
20,2,2.8,3.55,0.75,0.0123,0.0168,0.004499999999999999
21,4,3.93,4.726,0.7959999999999998,0.0308,0.0425,0.011700000000000002
22,18,3.905,5.297,1.392,0.002,0.0378,0.0358
23,4,4.91,5.689,0.7789999999999999,0.0121,0.0227,0.010600000000000002
24,3,4.591,6.147,1.556,0.001,0.0542,0.0532
25,7,3.41,4.241,0.8309999999999995,0.0117,0.0354,0.0237
26,6,1.21,1.365,0.15500000000000003,0.011,0.0288,0.0178
27,3,4.27,4.76,0.4900000000000002,0.043,0.0636,0.020600000000000007
28,18,2.326,5.92,3.594,0.0006,0.0191,0.0185
29,3,3.68,5.04,1.3599999999999999,0.0091,0.0589,0.0498
30,3,4.0,4.6,0.5999999999999996,0.0026,0.0332,0.030600000000000002
31,3,4.96,5.66,0.7000000000000002,0.0042,0.0248,0.0206
32,15,5.62,6.28,0.6600000000000001,0.0122,0.033,0.0208
33,3,4.25,4.63,0.3799999999999999,0.0206,0.0245,0.0039000000000000007
34,2,5.25,5.35,0.09999999999999964,0.024,0.0275,0.0034999999999999996
35,3,4.5,5.6,1.0999999999999996,0.0183,0.0535,0.035199999999999995
36,2,2.92,5.6,2.6799999999999997,0.0138,0.0183,0.0045000000000000005
37,4,2.59,5.92,3.33,0.003,0.031,0.028
38,6,4.76,5.43,0.6699999999999999,0.0325,0.052,0.019499999999999997
39,3,4.52,5.19,0.6700000000000008,0.0241,0.031,0.0069
40,3,5.267,5.5,0.23299999999999965,0.0106,0.0222,0.011600000000000001
41,3,3.42,5.329,1.9089999999999998,0.0016,0.0338,0.0322
42,3,4.62,5.27,0.6499999999999995,0.0002,0.0516,0.0514
43,9,4.03,6.82,2.79,0.0046,0.0438,0.0392
44,2,5.03,5.299,0.26900000000000013,0.0238,0.0313,0.0075
45,3,4.78,5.12,0.33999999999999986,0.0095,0.019,0.0095
46,3,4.3,4.55,0.25,0.043,0.052,0.009000000000000001
47,4,4.709,5.63,0.9210000000000003,0.0015,0.0222,0.0207
48,8,2.89,5.69,2.8000000000000003,0.0105,0.0518,0.041299999999999996
49,4,4.21,4.64,0.4299999999999997,0.0201,0.0591,0.039
50,2,7.1,7.2,0.10000000000000053,0.0199,0.0236,0.0036999999999999984
51,4,6.75,7.106,0.35599999999999987,0.0059,0.0239,0.018000000000000002
52,4,4.96,7.07,2.1100000000000003,0.0039,0.0209,0.016999999999999998
53,6,4.75,5.5,0.75,0.002,0.044,0.041999999999999996
54,3,4.04,4.55,0.5099999999999998,0.0195,0.043,0.023499999999999997
55,2,1.0,1.95,0.95,0.0006,0.0008,0.0002000000000000001
56,6,3.91,5.53,1.62,0.0052,0.0086,0.0034000000000000002
57,3,1.227,1.982,0.7549999999999999,0.0061,0.0116,0.005499999999999999
58,6,2.81,4.91,2.1,0.0006,0.007,0.0064
