Fiber Volume,Length (mm),Diameter (mm),L/D,RI,Cement,Water,Sand,Fly ash C,Fly ash F,GGBS,Coarse Aggr.,Silica Fume,Water Reducer/SP,Fiber,C/B,W/C,W/B,FA/Binder Ratio,S/B Ratio,Paste Volume,SCM Ratio,Aggregate Ratio,Fiber Surface Area,Fiber Efficiency,GGBS Presence,Silica Fume Presence,Coarse Aggr Presence,tau_proxy,Flaw Size Proxy,Geometric Fiber Eff,sigma_cu_proxy,sigma_crack_proxy,PSH Strength Index,Jb_complement,J_tip_proxy,PSH Energy Index,Second Stress,Second Strain,group_id
0.03,6.0,0.0379,158.31,3.48,726.88,581.5,436.13,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.9999999999862426,0.7999944970173894,0.7999944970173894,0.0,0.6000027514775478,1308.38,0.0,0.3333358810106136,0.02143194508278957,4.7493,0.0,0.0,0.0,125.31131258276712,0.4166727122332202,16.527563999999998,908.6062386978361,2.399965120443569,4315.243609447633,4.3914464144921886e-08,2.399965120443569,2616.47865684,3.948,0.006,250
0.03,6.0,0.0379,158.31,3.48,714.94,571.95,428.96,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.9999999999860129,0.799997202551263,0.799997202551263,0.0,0.5999944051165133,1286.89,0.0,0.33333074310676647,0.02143194508278957,4.7493,0.0,0.0,0.0,125.31131258276712,0.41666488067345225,16.527563999999998,893.6781138524121,2.400010229764518,4244.345466119261,4.464801752741364e-08,2.400010229764518,2616.47865684,2.887,0.0008,249
0.03,6.0,0.0379,158.31,3.48,703.38,562.7,422.03,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.9999999999857829,0.79999431316216,0.79999431316216,0.0,0.6000028434047029,1266.08,0.0,0.33333596612904925,0.02143194508278957,4.7493,0.0,0.0,0.0,125.31131258276712,0.4166729143920207,16.527563999999998,879.23123906646,2.3999639560432886,4175.732923698339,4.5381640594929314e-08,2.3999639560432886,2616.47865684,5.024,0.0196,248
0.02,12.7,0.038,334.21,4.9,1446.39,390.52,0.0,0.0,0.0,0.0,0.0,289.28,0.0,19.4,0.8333323730845534,0.2699963357028879,0.22499668715697685,0.0,0.0,2126.19,0.1666676269096852,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,6428.494365812292,100000000.0,42969.342039962525,1.3926816442690978e-09,100000000.0,10946.2397618,3.18,0.0328,202
0.02,12.7,0.038,334.21,4.9,1446.39,390.52,0.0,0.0,0.0,0.0,0.0,289.28,0.0,19.4,0.8333323730845534,0.2699963357028879,0.22499668715697685,0.0,0.0,2126.19,0.1666676269096852,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,6428.494365812292,100000000.0,42969.342039962525,1.3926816442690978e-09,100000000.0,10946.2397618,5.899,0.0683,202
0.02,12.7,0.038,334.21,4.9,1298.32,415.46,0.0,0.0,0.0,0.0,0.0,259.66,38.95,26.0,0.8333354728505287,0.31999815145480315,0.2666658108559374,0.0,0.0,1973.44,0.1666645271430528,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,4868.715442544097,100000000.0,32543.46776105325,1.8388517893902374e-09,100000000.0,10946.2397618,5.1,0.0538,200
0.02,12.7,0.038,334.21,4.9,586.04,263.72,1172.08,0.0,0.0,0.0,0.0,117.21,29.3,26.0,0.8333309633724375,0.45000341272865335,0.3750017774564522,0.0,1.666661926744875,966.97,0.16666903661334276,1.212116198008086,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,3.232294454460021,32.75258,1562.7658843307647,0.3093777534798512,10445.839724043697,5.7288466515175045e-09,0.3093777534798512,10946.2397618,2.68,0.002,198
0.02,12.7,0.038,334.21,4.9,984.62,344.62,492.31,0.0,0.0,0.0,0.0,196.92,49.23,26.0,0.8333361545031627,0.35000304685716316,0.29167019313530085,0.0,0.41666807725158134,1526.1599999999999,0.16666384548837396,0.3225808565266907,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,1.1059780980680118,32.75258,3375.799068317073,0.904177029097673,22564.51613244498,2.6520672357485212e-09,0.904177029097673,10946.2397618,3.756,0.0217,199
0.02,12.7,0.038,334.21,4.9,1298.32,415.46,0.0,0.0,0.0,0.0,0.0,259.66,38.95,26.0,0.8333354728505287,0.31999815145480315,0.2666658108559374,0.0,0.0,1973.44,0.1666645271430528,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,4868.715442544097,100000000.0,32543.46776105325,1.8388517893902374e-09,100000000.0,10946.2397618,5.166,0.0543,200
0.02,12.7,0.038,334.21,4.9,1298.32,415.46,0.0,0.0,0.0,0.0,0.0,259.66,38.95,26.0,0.8333354728505287,0.31999815145480315,0.2666658108559374,0.0,0.0,1973.44,0.1666645271430528,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,4868.715442544097,100000000.0,32543.46776105325,1.8388517893902374e-09,100000000.0,10946.2397618,4.467,0.0541,200
0.02,12.7,0.038,334.21,4.9,1298.32,415.46,0.0,0.0,0.0,0.0,0.0,259.66,38.95,26.0,0.8333354728505287,0.31999815145480315,0.2666658108559374,0.0,0.0,1973.44,0.1666645271430528,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,4868.715442544097,100000000.0,32543.46776105325,1.8388517893902374e-09,100000000.0,10946.2397618,4.075,0.0563,200
0.02,12.7,0.038,334.21,4.9,586.04,263.72,1172.08,0.0,0.0,0.0,0.0,117.21,29.3,26.0,0.8333309633724375,0.45000341272865335,0.3750017774564522,0.0,1.666661926744875,966.97,0.16666903661334276,1.212116198008086,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,3.232294454460021,32.75258,1562.7658843307647,0.3093777534798512,10445.839724043697,5.7288466515175045e-09,0.3093777534798512,10946.2397618,2.614,0.0003,198
0.02,12.7,0.038,334.21,4.9,984.62,344.62,492.31,0.0,0.0,0.0,0.0,196.92,49.23,26.0,0.8333361545031627,0.35000304685716316,0.29167019313530085,0.0,0.41666807725158134,1526.1599999999999,0.16666384548837396,0.3225808565266907,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,1.1059780980680118,32.75258,3375.799068317073,0.904177029097673,22564.51613244498,2.6520672357485212e-09,0.904177029097673,10946.2397618,3.899,0.0218,199
0.02,12.7,0.038,334.21,4.9,1374.07,425.96,0.0,0.0,0.0,0.0,0.0,206.11,27.48,9.8,0.8695654925333218,0.3099987627973102,0.2695642268585252,0.0,0.0,2006.1399999999999,0.1304345074603499,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,5097.374993112124,100000000.0,34071.873928960056,1.756364033576441e-09,100000000.0,10946.2397618,3.349,0.0499,201
0.02,12.7,0.038,334.21,4.9,1374.07,425.96,0.0,0.0,0.0,0.0,0.0,206.11,27.48,9.8,0.8695654925333218,0.3099987627973102,0.2695642268585252,0.0,0.0,2006.1399999999999,0.1304345074603499,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,5097.374993112124,100000000.0,34071.873928960056,1.756364033576441e-09,100000000.0,10946.2397618,4.065,0.0525,201
0.02,12.7,0.038,334.21,4.9,1374.07,425.96,0.0,0.0,0.0,0.0,0.0,206.11,27.48,9.8,0.8695654925333218,0.3099987627973102,0.2695642268585252,0.0,0.0,2006.1399999999999,0.1304345074603499,0.0,0.030322652292448682,6.6842,0.0,1.0,0.0,175.89995371053848,0.0,32.75258,5097.374993112124,100000000.0,34071.873928960056,1.756364033576441e-09,100000000.0,10946.2397618,4.985,0.0519,201
0.02,12.0,0.04,300.0,4.4,713.73,426.81,593.82,0.0,214.12,0.0,0.0,0.0,0.0,26.0,0.7692299401760065,0.5979992434029955,0.45999892223462846,0.23077005981321583,0.639995688951447,1354.66,0.23077005981321583,0.4383535352011697,0.030159289474462017,6.0,0.0,0.0,0.0,149.99996250000936,0.9529446798315214,26.400000000000002,1551.5905581188451,1.049378847136236,9309.54334871307,7.1611102896773675e-09,1.049378847136236,7920.000000000001,3.86,0.0137,95
0.02,12.0,0.04,300.0,4.4,713.73,426.81,593.82,0.0,214.12,0.0,0.0,0.0,0.0,26.0,0.7692299401760065,0.5979992434029955,0.45999892223462846,0.23077005981321583,0.639995688951447,1354.66,0.23077005981321583,0.4383535352011697,0.030159289474462017,6.0,0.0,0.0,0.0,149.99996250000936,0.9529446798315214,26.400000000000002,1551.5905581188451,1.049378847136236,9309.54334871307,7.1611102896773675e-09,1.049378847136236,7920.000000000001,3.451,0.0167,95
0.02,12.0,0.04,300.0,4.4,713.73,426.81,593.82,0.0,214.12,0.0,0.0,0.0,0.0,26.0,0.7692299401760065,0.5979992434029955,0.45999892223462846,0.23077005981321583,0.639995688951447,1354.66,0.23077005981321583,0.4383535352011697,0.030159289474462017,6.0,0.0,0.0,0.0,149.99996250000936,0.9529446798315214,26.400000000000002,1551.5905581188451,1.049378847136236,9309.54334871307,7.1611102896773675e-09,1.049378847136236,7920.000000000001,3.41,0.0117,95
0.02,12.0,0.04,300.0,4.4,713.73,426.81,593.82,0.0,214.12,0.0,0.0,0.0,0.0,26.0,0.7692299401760065,0.5979992434029955,0.45999892223462846,0.23077005981321583,0.639995688951447,1354.66,0.23077005981321583,0.4383535352011697,0.030159289474462017,6.0,0.0,0.0,0.0,149.99996250000936,0.9529446798315214,26.400000000000002,1551.5905581188451,1.049378847136236,9309.54334871307,7.1611102896773675e-09,1.049378847136236,7920.000000000001,3.49,0.0335,95
