Model,Target,CV R²,CV RMSE,CV MAE,CV R² Std,Test R²,Test RMSE,Test MAE
ExtraTrees,Second Strain (log),0.4733,0.013142,0.009556,0.171,0.7557,0.011677,0.008745
LightGBM,Second Strain (log),0.46,0.01331,0.009905,0.1643,0.7418,0.012004,0.009229
Random Forest,Second Strain (log),0.4545,0.013447,0.010017,0.1432,0.747,0.011883,0.008904
Grad Boosting,Second Strain (log),0.4469,0.01352,0.010014,0.1503,0.7314,0.012243,0.009484
XGBoost,Second Strain (log),0.4309,0.013734,0.009931,0.1565,0.7492,0.011832,0.008721
KNN,Second Strain (log),0.3458,0.014847,0.011527,0.1142,0.5039,0.01664,0.012375
Ridge,Second Strain (log),0.325,0.01504,0.011729,0.1671,0.4546,0.017446,0.013397
ElasticNet,Second Strain (log),0.1526,0.017029,0.01354,0.0282,0.1957,0.021187,0.015695
Lasso,Second Strain (log),-0.0018,0.018529,0.014469,0.0041,-0.0009,0.023635,0.016841
SVR,Second Strain (log),-2.8917,0.03598,0.032771,0.8259,-2.1084,0.041652,0.038733
