Model,Target,CV R²,CV RMSE,CV MAE,CV R² Std,Test R²,Test RMSE,Test MAE
ExtraTrees,Second Stress,0.8333,0.618662,0.422044,0.0861,0.8671,0.67442,0.471184
Grad Boosting,Second Stress,0.8211,0.649458,0.440734,0.0744,0.8812,0.637518,0.464862
Random Forest,Second Stress,0.8171,0.654435,0.439804,0.0801,0.8751,0.653816,0.459315
LightGBM,Second Stress,0.8096,0.662888,0.454767,0.0983,0.8743,0.655937,0.454514
XGBoost,Second Stress,0.7857,0.715908,0.466338,0.0798,0.8394,0.741317,0.500712
SVR,Second Stress,0.7438,0.767395,0.523703,0.1461,0.8149,0.795906,0.544753
KNN,Second Stress,0.7287,0.795503,0.552712,0.1323,0.8021,0.82289,0.580757
ElasticNet,Second Stress,0.5847,1.01448,0.708893,0.0544,0.7118,0.993108,0.740035
Ridge,Second Stress,0.5814,1.016632,0.70902,0.0687,0.726,0.968314,0.706917
Lasso,Second Stress,0.5813,1.018414,0.711869,0.0569,0.7079,0.999751,0.746513
